email,continent,country,sleep_hours,employment_status,study_hours,webinar_attendance_duration,score
student224@alx.edu,Africa,Zimbabwe,0,Unemployed,18,36,100
student225@alx.edu,Africa,Ethiopia,2,Employed,14,36,89
student226@alx.edu,Africa,Nigeria,2,Unemployed,14,24,91
student227@alx.edu,Africa,South Africa,3,Unemployed,39,83,100
student228@alx.edu,Africa,Kenya,8,Employed,19,41,97
student229@alx.edu,Africa,Rwanda,3,Employed,36,73,100
student230@alx.edu,Africa,Morocco,2,Unemployed,27,59,100
student231@alx.edu,Africa,Egypt,5,Unemployed,33,67,100
student232@alx.edu,Africa,Ghana,9,Unemployed,23,46,100
student233@alx.edu,Africa,Zimbabwe,2,Employed,25,50,100
student234@alx.edu,Africa,Ethiopia,1,Unemployed,22,48,100
student235@alx.edu,Africa,Nigeria,4,Unemployed,12,27,81
student236@alx.edu,Africa,South Africa,7,Employed,30,59,100
student237@alx.edu,Africa,Kenya,6,Unemployed,15,26,82
student238@alx.edu,Africa,Rwanda,8,Employed,6,11,54
student239@alx.edu,Africa,Morocco,10,Unemployed,28,53,100
student240@alx.edu,Africa,Egypt,8,Employed,,22,70
student241@alx.edu,Africa,Ghana,6,Unemployed,38,80,100
student242@alx.edu,Africa,Zimbabwe,5,Employed,38,75,100
student243@alx.edu,Africa,Ethiopia,0,Employed,37,74,100
student244@alx.edu,Africa,Nigeria,10,Unemployed,18,36,87
student245@alx.edu,Africa,South Africa,4,Employed,6,14,61
student246@alx.edu,Africa,Kenya,2,Unemployed,37,68,100
student247@alx.edu,Africa,Rwanda,7,Employed,20,38,100
student248@alx.edu,Africa,Morocco,3,Employed,39,78,100
student249@alx.edu,Africa,Egypt,6,Employed,39,81,100
student250@alx.edu,Africa,Ghana,6,Employed,35,68,100
student251@alx.edu,Africa,Zimbabwe,4,Employed,15,25,87
student252@alx.edu,Africa,Ethiopia,8,Employed,18,39,96
student253@alx.edu,Africa,Nigeria,3,Employed,35,68,100
student254@alx.edu,Africa,South Africa,4,Unemployed,16,29,89
student255@alx.edu,Africa,Kenya,5,Unemployed,11,20,68
student256@alx.edu,Africa,Rwanda,7,Employed,24,48,100
student257@alx.edu,Africa,Morocco,8,Employed,38,74,100
student258@alx.edu,Africa,Egypt,4,Employed,29,52,100
student259@alx.edu,Africa,Ghana,6,Unemployed,25,53,100
student260@alx.edu,Africa,Zimbabwe,2,Employed,8,21,72
student261@alx.edu,Africa,Ethiopia,9,Unemployed,27,55,100
student262@alx.edu,Africa,Nigeria,4,Employed,40,76,100
student263@alx.edu,Africa,South Africa,7,Employed,10,19,71
student264@alx.edu,Africa,Kenya,0,Employed,23,46,100
student265@alx.edu,Africa,Rwanda,2,Employed,36,73,100
student266@alx.edu,Africa,Morocco,5,Employed,31,64,100
student267@alx.edu,Africa,Egypt,9,Unemployed,29,57,100
student268@alx.edu,Africa,Ghana,5,Employed,30,59,100
student269@alx.edu,Africa,Zimbabwe,9,Unemployed,18,37,89
student270@alx.edu,Africa,Ethiopia,5,Unemployed,15,35,89
student271@alx.edu,Africa,Nigeria,5,Employed,33,69,100
student272@alx.edu,Africa,South Africa,1,Employed,33,69,100
student273@alx.edu,Africa,Kenya,8,Employed,35,71,100
student274@alx.edu,Africa,Rwanda,2,Unemployed,37,78,100
student275@alx.edu,Africa,Morocco,9,Unemployed,23,47,97
student276@alx.edu,Africa,Egypt,9,Unemployed,23,43,100
student277@alx.edu,Africa,Ghana,9,Employed,33,70,100
student278@alx.edu,Africa,Zimbabwe,5,Unemployed,28,58,100
student279@alx.edu,Africa,Ethiopia,7,Unemployed,30,58,100
student280@alx.edu,Africa,Nigeria,8,Unemployed,33,64,100
student281@alx.edu,Africa,South Africa,1,Employed,36,73,100
student282@alx.edu,Africa,Kenya,6,Unemployed,17,35,94
student283@alx.edu,Africa,Rwanda,0,Unemployed,18,37,99
student284@alx.edu,Africa,Morocco,5,Employed,8,18,57
student285@alx.edu,Africa,Egypt,2,Employed,25,56,100
student286@alx.edu,Africa,Ghana,2,Employed,6,16,72
student287@alx.edu,Africa,Zimbabwe,4,Unemployed,21,43,96
student288@alx.edu,Africa,Ethiopia,4,Unemployed,24,51,100
student289@alx.edu,Africa,Nigeria,6,Unemployed,15,27,93
student290@alx.edu,Africa,South Africa,1,Employed,26,53,100
student291@alx.edu,Africa,Kenya,5,Unemployed,6,18,61
student292@alx.edu,Africa,Rwanda,2,Employed,6,12,61
student293@alx.edu,Africa,Morocco,6,Employed,34,65,100
student294@alx.edu,Africa,Egypt,6,Unemployed,18,33,84
student295@alx.edu,Africa,Ghana,6,Unemployed,9,16,74
student296@alx.edu,Africa,Zimbabwe,7,Unemployed,23,44,98
student297@alx.edu,Africa,Ethiopia,3,Employed,32,63,100
student298@alx.edu,Africa,Nigeria,8,Employed,13,21,76
student299@alx.edu,Africa,South Africa,4,Unemployed,27,54,100
student300@alx.edu,Africa,Kenya,5,Employed,8,19,60
student301@alx.edu,Africa,Rwanda,6,Unemployed,7,11,65
student302@alx.edu,Africa,Morocco,0,Unemployed,24,52,100
student303@alx.edu,Africa,Egypt,7,Unemployed,24,49,100
student304@alx.edu,Africa,Ghana,6,Employed,27,58,100
student305@alx.edu,Africa,Zimbabwe,3,Employed,30,59,100
student306@alx.edu,Africa,Ethiopia,1,Unemployed,39,81,100
student307@alx.edu,Africa,Nigeria,1,Unemployed,23,43,100
student308@alx.edu,Africa,South Africa,9,Employed,16,35,81
student309@alx.edu,Africa,Kenya,7,Unemployed,33,66,100
student310@alx.edu,Africa,Rwanda,1,Employed,14,31,88
student311@alx.edu,Africa,Morocco,4,Unemployed,20,37,100
student312@alx.edu,Africa,Egypt,6,Employed,8,13,52
student313@alx.edu,Africa,Ghana,8,Unemployed,6,14,49
student314@alx.edu,Africa,Zimbabwe,0,Employed,39,75,100
student315@alx.edu,Africa,Ethiopia,2,Unemployed,34,70,100
student316@alx.edu,Africa,Nigeria,9,Employed,29,55,100
student317@alx.edu,Africa,South Africa,0,Employed,19,41,97
student318@alx.edu,Africa,Kenya,2,Employed,11,18,75
student319@alx.edu,Africa,Rwanda,10,Employed,10,23,65
student320@alx.edu,Africa,Morocco,6,Unemployed,14,29,86
student321@alx.edu,Africa,Egypt,3,Employed,24,46,100
student322@alx.edu,Africa,Ghana,1,Employed,30,62,100
student323@alx.edu,Africa,Zimbabwe,0,Unemployed,28,57,100
student324@alx.edu,Africa,Ethiopia,2,Employed,15,28,80
student325@alx.edu,Africa,Nigeria,9,Unemployed,38,74,100
student326@alx.edu,Africa,South Africa,4,Employed,31,56,100
student327@alx.edu,Africa,Kenya,7,Employed,24,50,100
student328@alx.edu,Africa,Rwanda,9,Employed,26,48,100
student329@alx.edu,Africa,Morocco,4,Employed,20,40,100
student330@alx.edu,Africa,Egypt,2,Employed,14,27,84
student331@alx.edu,Africa,Ghana,5,Employed,17,37,93
student332@alx.edu,Africa,Zimbabwe,9,Unemployed,32,62,100
student333@alx.edu,Africa,Ethiopia,8,Unemployed,6,10,52
student334@alx.edu,Africa,Nigeria,1,Employed,9,20,70
student335@alx.edu,Africa,South Africa,7,Employed,7,14,59
student336@alx.edu,Africa,Kenya,6,Unemployed,6,14,56
student337@alx.edu,Africa,Rwanda,9,Unemployed,35,71,100
student338@alx.edu,Africa,Morocco,1,Employed,30,55,100
student339@alx.edu,Africa,Egypt,5,Employed,22,45,100
student340@alx.edu,Africa,Ghana,9,Employed,8,19,68
student341@alx.edu,Africa,Zimbabwe,4,Employed,22,41,100
student342@alx.edu,Africa,Ethiopia,5,Employed,22,42,98
student343@alx.edu,Africa,Nigeria,1,Employed,11,22,80
student344@alx.edu,Africa,South Africa,3,Unemployed,20,40,100
student345@alx.edu,Africa,Kenya,3,Employed,19,39,95
student346@alx.edu,Africa,Rwanda,9,Employed,27,57,100
student347@alx.edu,Africa,Morocco,3,Unemployed,27,58,100
student348@alx.edu,Africa,Egypt,5,Unemployed,7,9,60
student349@alx.edu,Africa,Ghana,7,Unemployed,18,38,86
student350@alx.edu,Africa,Zimbabwe,2,Unemployed,27,58,100
student351@alx.edu,Africa,Ethiopia,5,Employed,23,46,100
student352@alx.edu,Africa,Nigeria,7,Unemployed,35,73,100
student353@alx.edu,Africa,South Africa,9,Unemployed,28,62,100
student354@alx.edu,Africa,Kenya,6,Employed,11,24,75
student355@alx.edu,Africa,Rwanda,7,Unemployed,7,16,62
student356@alx.edu,Africa,Morocco,1,Unemployed,27,58,100
student357@alx.edu,Africa,Egypt,9,Employed,6,12,60
student358@alx.edu,Africa,Ghana,1,Employed,26,51,100
student359@alx.edu,Africa,Zimbabwe,8,Employed,38,75,100
student360@alx.edu,Africa,Ethiopia,3,Employed,25,55,100
student361@alx.edu,Africa,Nigeria,9,Employed,19,35,83
student362@alx.edu,Africa,South Africa,7,Employed,28,60,100
student363@alx.edu,Africa,Kenya,8,Employed,21,44,96
student364@alx.edu,Africa,Rwanda,2,Unemployed,24,44,100
student365@alx.edu,Africa,Morocco,4,Unemployed,38,77,100
student366@alx.edu,Africa,Egypt,6,Employed,19,31,92
student367@alx.edu,Africa,Ghana,8,Unemployed,39,79,100
student368@alx.edu,Africa,Zimbabwe,1,Employed,37,76,100
student369@alx.edu,Africa,Ethiopia,10,Unemployed,12,22,76
student370@alx.edu,Africa,Nigeria,9,Employed,7,15,57
student371@alx.edu,Africa,South Africa,3,Unemployed,9,23,70
student372@alx.edu,Africa,Kenya,8,Employed,6,10,54
student373@alx.edu,Africa,Rwanda,5,Unemployed,8,13,67
student374@alx.edu,Africa,Morocco,5,Employed,29,62,100
student375@alx.edu,Africa,Egypt,3,Unemployed,7,21,73
student376@alx.edu,Africa,Ghana,6,Unemployed,16,32,92
student377@alx.edu,Africa,Zimbabwe,7,Employed,35,72,100
student378@alx.edu,Africa,Ethiopia,4,Unemployed,6,16,68
student379@alx.edu,Africa,Nigeria,6,Unemployed,34,65,100
student380@alx.edu,Africa,South Africa,7,Unemployed,15,28,85
student381@alx.edu,Africa,Kenya,7,Unemployed,9,22,61
student382@alx.edu,Africa,Rwanda,1,Unemployed,29,64,100
student383@alx.edu,Africa,Morocco,9,Employed,27,56,100
student384@alx.edu,Africa,Egypt,5,Employed,36,69,100
student385@alx.edu,Africa,Ghana,3,Unemployed,31,67,100
student386@alx.edu,Africa,Zimbabwe,2,Employed,33,65,100
student387@alx.edu,Africa,Ethiopia,5,Unemployed,15,29,88
student388@alx.edu,Africa,Nigeria,9,Employed,11,23,63
student389@alx.edu,Africa,South Africa,4,Unemployed,31,67,100
student390@alx.edu,Africa,Kenya,7,Unemployed,33,69,100
student391@alx.edu,Africa,Rwanda,1,Unemployed,40,81,100
student392@alx.edu,Africa,Morocco,5,Unemployed,19,40,93
student393@alx.edu,Africa,Egypt,10,Employed,18,36,91
student394@alx.edu,Africa,Ghana,8,Employed,32,66,100
student395@alx.edu,Africa,Zimbabwe,2,Employed,17,26,95
student396@alx.edu,Africa,Ethiopia,5,Unemployed,38,74,100
student397@alx.edu,Africa,Nigeria,2,Employed,35,71,100
student398@alx.edu,Africa,South Africa,4,Employed,20,37,100
student399@alx.edu,Africa,Kenya,8,Unemployed,31,64,100
student400@alx.edu,Africa,Rwanda,8,Unemployed,31,62,100
student401@alx.edu,Africa,Morocco,2,Unemployed,9,22,80
student402@alx.edu,Africa,Egypt,9,Employed,37,78,100
student403@alx.edu,Africa,Ghana,6,Employed,23,44,100
student404@alx.edu,Africa,Zimbabwe,4,Unemployed,34,67,100
student405@alx.edu,Africa,Ethiopia,5,Employed,16,32,87
student406@alx.edu,Africa,Nigeria,6,Unemployed,36,71,100
student407@alx.edu,Africa,South Africa,6,Employed,19,38,92
student408@alx.edu,Africa,Kenya,5,Unemployed,5,8,52
student409@alx.edu,Africa,Rwanda,5,Employed,37,70,100
student410@alx.edu,Africa,Morocco,2,Employed,8,18,68
student411@alx.edu,Africa,Egypt,8,Employed,16,34,85
student412@alx.edu,Africa,Ghana,5,Unemployed,38,74,100
student413@alx.edu,Africa,Zimbabwe,1,Unemployed,38,79,100
student414@alx.edu,Africa,Ethiopia,8,Unemployed,25,48,100
student415@alx.edu,Africa,Nigeria,9,Employed,27,55,100
student416@alx.edu,Africa,South Africa,9,Unemployed,21,44,100
student417@alx.edu,Africa,Kenya,4,Employed,15,30,88
student418@alx.edu,Africa,Rwanda,1,Unemployed,17,34,100
student419@alx.edu,Africa,Morocco,5,Unemployed,29,56,100
student420@alx.edu,Africa,Egypt,1,Employed,31,62,100
student421@alx.edu,Africa,Ghana,9,Employed,33,65,100
student422@alx.edu,Africa,Zimbabwe,2,Unemployed,33,63,100
student423@alx.edu,Africa,Ethiopia,3,Unemployed,8,16,73
student424@alx.edu,Africa,Nigeria,4,Employed,22,40,100
student425@alx.edu,Africa,South Africa,4,Employed,7,13,69
student426@alx.edu,Africa,Kenya,8,Unemployed,24,48,100
student427@alx.edu,Africa,Rwanda,5,Employed,20,40,100
student428@alx.edu,Africa,Morocco,2,Unemployed,36,71,100
student429@alx.edu,Africa,Egypt,3,Unemployed,17,34,93
student430@alx.edu,Africa,Ghana,5,Unemployed,9,20,71
student431@alx.edu,Africa,Zimbabwe,1,Employed,10,23,83
student432@alx.edu,Africa,Ethiopia,6,Unemployed,32,61,100
student433@alx.edu,Africa,Nigeria,6,Unemployed,27,50,100
student434@alx.edu,Africa,South Africa,7,Employed,9,14,60
student435@alx.edu,Africa,Kenya,9,Employed,8,14,58
student436@alx.edu,Africa,Rwanda,9,Employed,30,58,100
student437@alx.edu,Africa,Morocco,9,Unemployed,8,13,60
student438@alx.edu,Africa,Egypt,2,Employed,34,64,100
student439@alx.edu,Africa,Ghana,1,Employed,30,58,100
